0,0,52,83,-1,90,1,1,0,0,0,85,1
1,0,40,170,0,170,0,-1,0,0,0,87,0
1,0,44,143,0,147,0,-1,0,0,0,90,1
0,0,64,97,1,105,1,1,0,0,0,91,0
0,0,53,83,-1,92,-1,1,0,0,0,91,0
0,0,49,117,1,119,1,1,0,0,0,91,0
0,0,79,0,1,94,1,-1,0,0,0,94,1
0,0,82,86,-1,86,1,-1,0,0,0,94,1
0,0,62,95,1,100,1,-1,0,0,0,95,1
0,0,2,127,1,127,1,1,0,0,0,95,1
0,0,43,90,-1,100,1,-1,0,0,0,96,1
0,0,51,107,1,105,1,1,0,0,0,97,0
0,0,69,90,-1,97,1,-1,0,0,0,97,1
2,0,47,114,1,115,1,1,0,0,0,97,0
0,0,38,93,1,95,1,-1,1,1,0,98,0
2,0,60,125,-1,125,-1,1,0,0,0,98,0
0,0,71,72,1,79,1,-1,0,0,0,98,0
0,0,53,86,-1,86,-1,-1,0,0,1,98,0
0,0,73,92,-1,0,-1,-1,0,0,0,98,1
0,0,70,98,1,98,1,1,0,0,0,98,0
0,0,69,98,1,98,1,1,0,0,0,98,0
0,0,72,96,1,-1,-1,-1,0,0,0,99,1
0,0,39,99,1,99,1,1,0,0,0,99,1
0,0,68,98,1,99,1,-1,0,0,1,99,0
0,0,50,96,1,99,-1,-1,0,0,1,99,0
0,0,60,93,1,100,1,1,0,0,1,100,1
0,0,64,91,-1,100,-1,-1,1,1,1,100,1
0,0,6,96,-1,100,-1,-1,0,0,0,100,0
0,0,71,92,-1,99,1,-1,0,0,0,100,1
0,0,74,98,-1,0,-1,-1,0,0,0,100,1
0,0,59,99,1,99,-1,1,0,0,0,100,0
0,0,61,92,1,99,1,1,0,0,0,100,0
0,0,61,101,-1,101,0,-1,0,0,1,101,1
2,0,49,92,1,0,1,1,1,1,0,101,1
0,0,44,100,-1,102,1,1,0,0,1,101,1
0,0,48,95,1,102,1,1,0,0,1,101,1
0,0,56,95,1,101,1,1,0,0,1,101,1
0,0,80,80,-1,0,-1,-1,0,0,0,101,1
0,0,72,98,-1,101,1,-1,0,0,0,101,1
0,0,51,99,0,99,-1,-1,0,0,1,101,0
0,0,29,101,0,105,0,-1,0,0,0,101,1
0,0,86,98,1,101,1,-1,0,0,0,101,1
0,0,48,95,-1,102,-1,-1,0,0,1,101,1
0,0,42,99,-1,102,1,1,0,0,1,101,1
0,0,36,97,1,102,-1,-1,0,0,1,101,1
0,0,71,88,1,101,-1,-1,0,0,0,101,1
0,0,48,98,-1,102,-1,-1,0,0,1,101,1
0,0,55,101,-1,101,0,-1,0,0,0,101,1
0,0,69,101,0,101,-1,-1,0,0,1,101,0
0,0,60,91,-1,94,-1,-1,0,0,0,101,0
0,0,65,96,-1,101,-1,-1,0,0,0,101,1
0,0,74,0,-1,101,-1,-1,0,0,0,101,1
0,0,63,101,0,101,0,-1,0,0,0,101,1
0,0,65,101,0,101,0,-1,0,0,0,101,0
0,0,44,101,1,102,1,1,0,0,1,101,1
0,0,84,98,-1,98,-1,-1,0,0,0,101,0
0,0,35,89,-1,102,-1,1,0,0,0,102,0
0,0,49,101,-1,102,-1,-1,0,0,0,102,0
0,0,68,99,-1,99,0,-1,0,0,1,102,0
0,0,66,101,-1,102,1,-1,0,0,0,102,1
0,0,19,85,-1,102,0,-1,0,0,0,102,1
1,0,37,184,-1,185,-1,-1,0,0,0,102,0
0,0,68,102,0,102,-1,-1,0,0,0,102,0
0,0,53,95,-1,102,-1,-1,0,0,0,102,0
0,0,70,100,1,102,1,-1,0,0,0,102,0
0,0,43,96,0,96,0,-1,0,0,1,102,1
